description,id,location
"Providing health care to people on Vancouver Island, islands of the Salish Sea, and in the Mt. Waddington area. RTs & Follows ≠ endorsements. Not monitored 24/7",292,"British Columbia, Canada"
Treaties R the Supreme law of the land.   Oceti Sakowin,293,Here
"Baby Boomer, Borderbaby (Ont/Michigan). Proudly Cdn, Support Veterans, live laugh love. Smile, it only hurts for a moment. Question don’t ignore. RESPECT",294,"Brampton, Ontario"
Human Mom ❤️❤️ Pet Mom ❤️❤️ Retirement 2023 👍🏽,295,Mi’kma’ki
* I’m just a kokum trying to live my best Cree life * Sturgeon Lake Cree Nation * Treaty No. 8,296,"Winnipeg, Manitoba"
"Fall River, Nova Scotia school | Home to 660+ students in grades 6 - 8 | 🇨🇦",297,Fall River
"Official @redcrosscanada account for events, programs and services across #NovaScotia. Atlantic disaster response at @canredcrossATL.",298,"133 Troop Ave, Dartmouth"
Official Nova Scotia Government Twitter Account,299,"Nova Scotia, Canada"
A MOTHER OF ONE WHO IS PERFECTLY HAPPY AND CONTENT IN HER LIFE.,300,United States
That Guy who does That Stuff. (He/Him)  الموالية عبر  |   I share things without reading. That's a bad habit.,301,"Toronto, Ontario, Canada"
West Coast Granny,302,"British Columbia, Canada"
#SussexSquad #Canadian 🇨🇦 #Jamaican 🇯🇲,303,Canada
,304,
"if you can put it in a nutshell, don’t. He/him/they",305,"Peterborough, Ontario"
"Associate Professor of Finance, @NYUStern. Finance/Real Estate/Urban newsletter: https://t.co/lWVJvq6vKg.",306,"Manhattan, NY"
Multiracial 🇨🇦Canadian Smart dumb blonde.Artist. Pagan💗BlackLivesMatter💗🏳️‍🌈🏳️‍⚧️AllyStopAsianHate💗LoveisLove💗🟧🟦 alt acct~ @LadybugZee207,307,"Halifax, Nova Scotia"
Just living life North of 7,308,"Bancroft, Ontario"
"(Alek-see) Cis. He/Him. Former musician, recordist, video blogger. Passionate eater, reader, viewer, thinker. TTRPG  Upgraded with voice acting ability & studio",309,Toronto
"All #Ottawa #news in one place: society, culture 🎭, business 📊, and politics. Created by Boris @netocrat Khodorkovsky 🇺🇦 in Ottawa, #Canada 🍁",310,"Ottawa, Ontario"
"Your one stop source for BC news, weather, and sports. Looking for BC Road Conditions? Visit https://t.co/82bkwXDgea for Live BC Highway Cams.",311,"British Columbia, Canada"
"Environmentalist , resource effciency and climate change,Public speaker & campaigner on environmental sustainability oh! and apotropaics",312,cotswold
Canadian 🇨🇦 photojournalist living in #Jeju #SouthKorea 🇰🇷.Tweets on #photography #photojournalism 📸. Life-long fan of #Canucks 🏒 🥅 and @Nationals ⚾️🏆.,313,"Jeju Island, South Korea"
,314,
World Champion Tweeter🤣,315,South Africa
City Press is a well-respected agenda-setting South African news brand that publishes across platforms. Its flagship print edition is distributed on a Sunday.,316,South Africa
"Standing up for Southborough & High Brooms - Town Councillor, @UKLabour & @CoopParty. Food security, Ukraine, Sri Lanka, OU, Disabled, LGBT, NUJ, Jewish",317,"Royal Tunbridge Wells, England"
,318,
#halifax events + news + photos + food + fashion & fun. support local.,319,"Halifax, Nova Scotia"
HC and PHAC - #COVID19 updates - Promoting and protecting Canadians' health and safety - Français: @GouvCanSante - Notice: https://t.co/o7tmpUpODG,320,Canada
"The leading respiratory hospital in the nation. A nonprofit tweeting about the latest treatment & research for respiratory, cardiac, immune & related conditions",321,"Denver, Colorado"
"Covering Colorado First. #BreakingNews, #Colorado, #cowx & more. Home of CBS News Colorado – everything Colorado streaming on https://t.co/BpYefxLOcY",322,"Denver, Colorado"
"Plowing bravely through all the bullshit propaganda and PR, cajolery and palaver! Purveyor of common sense and humility!",323,
I miss you 💔🐾 https://t.co/mQpy9FTCPZ,324,
Alberta Beyond Fossil Fuels envisions a future when fossil fuels are no longer Alberta's principal industry.,325,"Alberta, Canada"
,326,
There is some crap up with which I will not put.,327,
Capt’n Kenny’s Fish & Seafood Galleys YouTube show. Seafaring explorer of marine flavours. Food Consultant. Seafood recipe developer. Former restauranteur.,328,Cape Breton
,329,
BSc VIU Fisheries & Aquaculture Natural Resource Manager Canucks /Kraken/Seahawks/Mariners Pacific Salmon  Climate Change LANDBACK Cree she/her Nomore MMIW,330,Stz’uminus Territory
,331,709
"I am an Author of Canadian Military Fiction, Historian, and Explorer of Military Museums & Battlegrounds. A Proud supporter of Canada's Armed Forces.",332,"Halifax, Nova Scotia"
"In 2023 I will resume my financial literacy Tweets. #CarGuy, Retired Health IT Guy, #itdoesnthavetohurt Kids Pain Mgmt Volunteer, |Husband|Dad|Grandad|",333,"Sackville, Nova Scotia"
"Mom, wife, daughter, sister, friend. News Director/Station Manager at @GlobalHalifax & @Global_NB Reach out with your news tips and story ideas!",334,"Halifax, Nova Scotia"
"Cape Bretoner, residing in  Halifax, NS since '85. Coffee Achiever. Former media personality. But that was years ago. Here we are now.",335,"Halifax, Nova Scotia"
"Physicist. Radiative transfer in atmospheric models. Chief editor of Vejret, quarterly journal of the Danish Met. Soc. My views are my own.",336,"København, Danmark"
"We are all responsible for Emergency Preparedness. By failing to prepare, you are preparing to fail -- Benjamin Franklin (Account is not monitored 24/7)",337,"Wolfville, Nova Scotia"
"Comic provocateurs targeting political hypocrisy, media distortion & institutionalized ignorance. By @PaulProvenza & @Dan_Dion: https://t.co/vpn2fkEmRn",338,United States
Manatee baby for world ☮️; she/her; 🌱🏳️‍🌈🏳️‍⚧️ #BLM #BTSARMY #CARAT #STAY Proud parent to autist son & queer daughter; without anger I’d have no personality,339,USA
The Marathon of Light is an environmental organization founded with the vision of creating a sustainable society. Please join us! Born: 315 PPM,340,Our Beautiful World!
"BIDEN/HARRIS 2024 🇺🇸support Ukraine💪I love OUTLANDER ,#Ancient history, love my cats,🐈🐈🐈🐈all animals..Trump's a D**k😁I block trump MAGAts #🟦",341,"☕️On my couch in redneck,pa🍩"
"Doing what is justified and reasonable - no time for the corrupt, the greedy or the arrogant.",342,"Cape Town, South Africa"
,343,"London, England"
"News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",344,"London, UK"
Director of QT Weather located in the beautiful Chicago Board of Trade building in downtown Chicago. Check out QT Audio News and https://t.co/yhmogpYWHe,345,CBOT
"Aquel ser humano que no conoce la naturaleza, que no camina bajo las ramas y las hojas como bajo su propio techo, es parcial y está herido. (Mary Oliver)",346,"Los Llanos de Aridane, España"
"Settler on Mi'kma'ki land/Committed to my Soul Mate/Foodie/Photographer/Poet/Love Art,Literature,Nature and God's Creatures/Spiritually-Aware/Socially-Conscious",347,Punamu'kwati'jk
,348,
Publishing free economic and political thought.  Instagram at jm_hamilton_blog  Email at: hamilton.jm1776@yahoo.com,349,🇨🇦🇺🇸🏳️‍🌈
"US news, opinion, features and sports from the Guardian. Support the Guardian today: https://t.co/g2jWebD5y0",350,United States
Member of Parliament for Miramichi-Grand Lake,351,
The Epoch Times Canadian Edition.  Follow us on https://t.co/dB76MDKqEE | Watch: https://t.co/GTfJbvbzTC | Play: https://t.co/PTcOnAErxC,352,Canada
👑 Kingmaker 💛. BTS ARMY 💜. Engene 🧡. Atiny 💙. Villain 🖤.  Reactor (KPOP BEAT)🪐. They/Them .✨,353,"Nova Scotia, Canada"
"Curling, boats (Cdn Power Squadron), Engineer...protect what we have...SW Alberta, BC, Gulf Islands, Vancouver Island.",354,
"UC Davis SVM Professor, PhD DABT Research. Enviro Health. Resp Tox, Air Pollution, Cancer, Chemicals. PTX. Grad Mentoring. Opinions my own",355,"Davis, CA"
"Regional Emergency Management Organization for the County of Annapolis, Town of Annapolis Royal and Town of Middleton.",356,Annapolis County Nova Scotia
Happily Married military Mom. Hates Trudeau. Pro Canadian gas and oil. #NoVacinnePassports #CanadiansHaveTheRightToChoose,357,
"Inspiring fitness instructor & traveler on a global journey of health, adventure, and self-discovery.",358,New york City
A collective of local organizers working for climate justice and a #GreenNewDeal on Lekwungen & W̱SÁNEĆ Territories. #JustRecoveryForAll #yyj,359,Lekungen and W̱SÁNEĆ Territori
#WoodSmoke affects everyone esp children/elders. #WoodStove #FirePit & #WildFire #pollution significantly increases #HeartAttacks in older ppl #StopBurningStuff,360,National Capital Region Canada
Transportation planner. He / him. @eric_doherty@mstdn.ca Words @NatObserver @georgiastraight @ricochet_en 🌻 🚎🚲♿️🚶‍♀️Born 320 ppm CO2.,361,"Victoria, BC"
"My kids say I am unique and a bit out there.  At the end of the day, I am a mom first, a business owner and a volunteer ! Be inspired....Volunteer today.",362,"halifax, ns"
,363,
Green Party member. We won't survive without Green policies. Our NHS matters more than any party. ❤ Peak District     🐤 🌼 🌳 🚲  #sodden570,364,Derbyshire
wildland fire mapping and works at AGOURA BIBILE FELOWSIPE WORSHIPE LIGHTING TECH,365,"Westlake Village, CA"
The Nova Scotia Teachers Union promotes and advances the teaching profession and quality public education.  https://t.co/RAcnSg0qRf…,366,"Halifax, Nova Scotia"
"He/him | Dartmouth, NS | Art prints @DartGalleryNS, @inkwellboutique & Ice House Gallery | Art - https://t.co/E2tYyzgLJC | Writing - https://t.co/2elmIHjnDJ",367,
Latest news and analysis from CBC News. 🇨🇦,368,Canada
,369,
,370,
This account is not monitored 24/7. Call your local detachment to report a crime. Emergencies: 911. Français: @grcne Terms of use: https://t.co/SDdlnXh6L9,371,"Nova Scotia, Canada"
🌹💜🐈🦮📚🧑‍🍳🥾🌏🪐,372,
BUY FROM TARGET,373,
Retired,374,Canada
"✝️♒️🇮🇪🇨🇦🏴‍☠️🎣🎱 Retired geezer, educator, aviationist, imperfect Roman Catholic,  interested in current events and  the world we're leaving behind.",375,Canuckistan
"Science user. Cynic. Worried humanity won't save itself from its stupidity. Publisher of The Great Disruption series (The Odd One, The Rich One). Blue.",376,
"Independent scholar (Ph.D. history), settler, parent, climate justice activist. Also now at @AnneKeary@projectmushroom.social",377,"Toronto, Ontario"
"Atlantic Canada Correspondent, Toronto Star. Photographer. Journalist. Rejuvenated Guitarist. Lapsed zoologist. Chaos-phile. (Also? I can kill you with my mind)",378,
"fire guy, weather guy, researcher, professor, research chair",379,Kamloops
"Canadian patriot, Conservative New Brunswicker with an appreciation for Alberta.  Anyone bashing Atlantic Canada can go to Hell!! #TrudeaumustGo",380,"Saint John, New Brunswick"
#SlavaUkraini 🇺🇦🌻#IndigenousJustice🪶🧡#LGBTQ2S  🌈💙 #BLM #StandWithTrudeau 🍁,381,
Prof of Economics @DenisonU; President @GISP_Tweets; Alum @UMKCecon. Views are my own.,382,"Addis Ababa, Ethiopia"
"Director at Emergency Solutions International, Deputy Fire Chief (Ret.), Assisting the Community and Critical Infrastructure to work together for resiliency.",383,"Saint John, N.B. Canada"
Reporter for CBC’s investigative unit in New Brunswick. I like hockey and east coast beaches. She/her. karissa.donkin@cbc.ca,384,"Fredericton, New Brunswick"
,385,
"#CANZUK 🇨🇦🇦🇺🇳🇿🇬🇧, 15 #KingsRealms & 56 #Commonwealth partners. Other interests include #IndoPacific #CPTPP @TheB1M. ‘Likes’ show most-read posts.",386,"Vancouver, British Columbia"
🌟Peace & Justice Unite Us 🌎,387,San Diego California
,388,
"🌎Fighting #disinfo / #misinfo on the #ClimateCrisis, #vaccines and #Science.📚 #ClimateAction #BLM #COVID19😷☣️ He/Him",389,Canada
,390,
Medical and scientific communications professional. Women's rights and Human rights advocate,391,
,392,
,393,
,394,"Ontario, Canada"
"Not nice, fat, disabled, queer, immunocompromised woman. Outlander and fiber arts geek. #CelineDion stan forever #NoPatienceForTheAbleds",395,"New Brunswick, Canada"
,396,
"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",397,
🇨🇦 Ex-evangelical living in an evangelical hellscape. RN. Team Gladis 🐋 Ragey ADHD. 🚫 Fascism. INTP. My views are my own.  Science is rad. Long COVID sucks.,398,"New Brunswick, Canada"
"You are very small & slow & I am training my cats to eat you;""devious and well meaning genius""; @karamcnair@zeroes.ca",399,"Vancouver, British Columbia"
"Citizen science initiative; highlighting covid info from P. Engs, industrial hygienists, HCW, citizens. I block pro-COVID accounts.",400,"New Brunswick, Canada"
Hoping my curiosity is contagious. Obsessed with mushrooms. Sometimes I'm wrong. Be smart. Landback He/Him Woke blue hair etc don't follow me if it bothers you.,401,"Mi'kma'ki / Nova Scotia, CA"
"PT Bio Prof at SMU, formerly Fanshawe/Lambton. Former Sr Naturalist @ KillbearPP. PhD in systematic mycology. Avid knitter. Passionate about #SciEd, botany",402,"Halifax, Nova Scotia"
"Official account of the Minister of Intergovernmental Affairs, Infrastructure and Communities, Dominic LeBlanc Terms: https://t.co/e2cqp0r0IL  FR: @MinIntergouvCA",403,Canada
"Good trouble treehugger 💚. Whose land: Living gratefully within the boundaries of the Algonquin Nation land claim, & shared traditional Haudenosaunee lands.",404,Kanadario
"Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.",405,"Doha, Qatar"
"Sailing, Travel, Adventures, Science & Music x",406,
,407,
"Tweets are someone else's. They have opinions on current stuff. Awake, woke, eyes open? It's all so confusing. 🇨🇦",408,North edge of Lake Ontario
,409,
🇨🇦gal🏋🏼‍♀️🚴‍♀️😷 Vaccines=Science=Life Proud book🪱 #Dendrophile  #SpaceJunkie  #SlavaUkraïni🇺🇦        Don't argue w/ morons.,410,Anishinabe Algonquin territory
"Covid & Long Covid are each existential risks. We must redirect huge portions of government spending for prevention, research, new treatments, & assistance.",411,In a dying civilization
Cyber Security Specialist                          🇨🇦 #africannovascotian           established 1784,412,
The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/gWyuUVlObq,413,London
"ISTJ-T|Full time gamer, part time Doctor..I love watching K-Movies, Dramas, C & HK Movies, K-pop addict! Anime, Webtoons, Comics, football, cricket, GAMING/20+",414,SEOHYUN ❤️
#BillsMafia🇨🇦#Leafsforever #bluejays #NextLevel  #thehip,415,"Nova Scotia, Canada"
"With small class sizes, hands-on opportunities and top-notch programs, our graduates have helped shape the Business and Tourism world. Be a grad! #msvubusitour",416,"Halifax, Nova Scotia"
"Visual artist, democracy activist, constitution junky, director & co-founder @CanRepublic",417,"Toronto, Canada"
Roman Catholic/Sedevacantist,418,"Michigan, USA"
University of Bath Climate Psychology Alliance Climate Catastrophe or Transformation Eco Anxiety Social Collapse Climate Change/Crisis,419,"South West, England"
Conservative. Roman Catholic. Cancer Survivor. Proud Supporter of  @NSNatureTrust & @RedCrossCanada  © 2023 William Bedell Enterprises #StandWithUkraine🇺🇦,420,"Dartmouth, Nova Scotia"
"Our vision is for #Halifax to be a city united by compassion, rich in possibility and free of poverty.",421,"Dartmouth, Nova Scotia, Canada"
"I'm very focused on video news. I post mostly about #Ontario, #Toronto and #Canada.",422,
,423,
Informational tidbits and snarky retorts,424,Seattle Washington
"PhD Student at UMCES 🌊 | Oyster Aquaculture, ROVs, and WQ Monitoring 🦪 | Podcast Host 🎙️| UofAZ ‘20 🎓 l Archer 🏹 |  Lifter🏋🏻‍♂️",425,
"Me , myself and I",426,
"International and local news from a Planet in Peril. Covering geography, botany, natural history, environment, humans, books, and the arts. #Iamabotanist",427,PNW - Lat: 46.6. N 120.52 W
Proud TD Banker and SMU Alumni - All around the world starting from Egypt.😊Taking one day at a time :)                     *All views are my own (he/him/his),428,"Halifax, Nova Scotia"
,429,Köln
"Moved from Ohio to Texas 2022, re-instated on Twitter 5/21/2023",430,"Bryan, TX"
Social Worker || Gold Music 🎶|| @95_TimeFM is my 🐐||,431,Kampala
"Strato-Volcano , Provincial Park, 260,000 years old; Dormant. not Extinct. VEI 3. Friends with Mt. Cayley & Mt. Meager, Garibali Lake Volcanic zone is mine FYI",432,"Squamish, British Columbia"
Hello I'm Jennifer 36 years old  nice to meet you,433,USA
Jasper National Park is administered by @ParksCanada | Français : @pnJasper  | Terms: https://t.co/XJm52Em7i5,434,"Jasper, Alberta"
Reporting on Fires in California and Tracking Air Tankers | Not Affiliated with Officials | Fire Aviation and Plane Spotting,435,"San Jacinto, Riverside County."
,436,
I'm not here to give you a happy ending. 💀 The Social Science of the Sixth Mass Extinction 💀 #6ME,437,Asgard
"Brilliant mad scientist, philosopher, mischief-maker, citizen. Never turn your back on a Republican. #MaskUp #Resist #BidenHarrisToSaveAmerica",438,The Wild Wild West & Beyond!
"Writer, editor. Former scientist. Writing a book about my field experiences as a woman. #nature #WomenInSTEM #binders",439,"Vancouver Island, Canada"
31 × He/Him × White × Gray-Ace My cats are named Artemis & Kepler  Currently super into MentourPilot & xianxia novels Art account @deinonychusrexx,440,Pacific Northwest
Another new profile because I still have computer hacks!,441,Canada
The problem with putting others first is that you have taught them that you come last.,442,United State
"I tweet for people with jobs, people without jobs, middle class, upper class, high class; all that. Cats, snakes, chickens, ducks, elderly people and twerkers",443,The District
"No, you can't win a fight vs a Gorilla, Chimp, Bear, Lion, Tiger, Wolf or Orangutan.    #GoBucks  #RepBX  #FTTB #NewYorkForever",444,"Ohio previously, AZ currently"
"Hello, Nice to meet you, I'm Jennifer  36",445,USA
learner/global educator/TOP 10 GTP/traveller/author/ESL/ techie/pacifist/PD/BYOD/ #GlobalGoals /edtech/#SDGs / HundrED & Varkey Ambassador/(she/her),446,Norway
"love da Bills, canoeing, camping, traveling, cooking, baking. perfect ing my sour dough.",447,wny
Odalis R.💍❤. LLS Hermano🤍 3/18/2022,448,"Oxnard, CA"
,449,
I am still alive!,450,
Connecting Nova Scotia with the most trusted local news since 1824. Tune in to what matters.,451,"Halifax, Nova Scotia, Canada"
"""Life is infinitely stranger than anything which the mind could invent.""🌺⚜️🏴‍☠️ from Jurassic l’Anse aux Meadows with love.",452,Québec/Hawaii/T&T/Serengeti
I TALK TO DOGS & CATS and I fight for what is right in this world! #ZSHQ #EndBSL #TheAviators #TheRuffRiderz #cloudriderz 🌈🐾 https://t.co/tMnCP2nKzk,453,"Portland, Oregon"
Journaliste à 34 infos. Média Local,454,
Speaking truths with the receipts.  Calling out hypocrites on the daily.,455,"Correct Side, History"
,456,Ottawa
Weather / Wildfires / Natural disasters / Animal Rescue / Animal Welfare / Animal Evac Assistance,457,behind you
"The Southern Maryland Chronicle is an all-digital news source for all of Charles, Calvert and St. Mary’s Counties. R/T's/Follows are not an endorsement.",458,"Hollywood, MD"
"🇺🇦 Geograph, Anglist, im aktiven Ruhestand, Interesse für Literatur, Naturwissenschaften, Länder und Menschen, Gott und die Welt...",459,"Königswinter, Deutschland"
"Artist, Lawyer ... Now, mostly I interview interesting Nova Scotians, test drive EVs, volunteer, work on my old house, and walk the dogs. Not in that order.",460,"Irvington, NY to Nova Scotia"
"NEWS-जीपीटी में आपका स्वागत है -  समाचार, मनोरंजन और रीलों में नवीनतम और महानतम के लिए आपका पसंदीदा गंतव्य।  हमारा चैनल आपको आपके पसंदीदा",461,india
"Father, husband, volunteer, leader, entrepreneur, baseball fan. #MountPearl 🇨🇦 🇮🇪 🌎",462,"Mount Pearl, NL, Canada"
My main objective is to have equal living conditions.  I want Banks and Grocery stores owned by the government.  Opinions are my own. NDP LGBTQIA+,463,Born and raised in Toronto
"Dad, Hubby, Gravenhurst Fire Chief - 3 Best titles in the world! Trying to tweet responsibly since 2012.",464,Bracebridge
,465,
"Former Director of Emergency Management & Emergency Services. Promoting evidence based decision making, disaster risk reduction & community resilience.",466,"New Brunswick, Canada"
"Former media, public and community relations professional. Blue Jays baseball fan. Mother. Wife.",467,
Public & Mental Health | Politics & Policy. Outreach & Harm Reduction Advocate. Survivor. Opinions Are My Own. Les opinions sont les miennes.,468,Tkaronto & Niagara
"⚠️ I will not give money to nobody, stop begging and being nasty, I am not an NGO⚠️ @MartinaKraus@mastodon.social #ZanZendegiAzadi #noafd #altersarmut #nonazis",469,Franken
When will you stop catching COVID?  😷  she/her/they #BlackLivesMatter #EveryChildMatters #APoxOnPutin #NAFOExpansionIsNonNegotiable #SoupCentric,470,Unama’ki
,471,Schweiz
Osiris#2056 - 🎺🇺🇸 - What is Destiny 2,472,"Botza Ruins, The Last City"
Only love is real ✨ 🏳️‍🌈,473,Earth
"ER doc, dancer, Mom. #PlanetaryHealth Solution-Seeker. Vice-Chair @GCHAlliance, Board @CMA_Docs, Steering Com. @pha_alliance. MPP 22-23 @UniofOxford. Onwards!",474,
Advancing research on urban living and human health,475,Canada
"Tifosi; MotoGPWSBKCSBKWoO fan;classic bikes & cars; music opera ballet art; drives too far, too fast; poet, photographer",476,"Northern Alberta, Canada"
"Photography, camping, paranormal, scuba..#resist #fbr #blacklivesmatter.🇨🇦🇨🇦🇨🇦🇨🇦",477,"Toronto, Ontario"
"Assistant Fire Management Officer, Bureau of Land Management. When I get a break you will find me hunting or fishing. Cowhide artist. High Top Outfitters guide.",478,"Duchesne, Utah"
"Sunni- Athari  -Amateur d'Histoire,de  Géopolitique, de Sciences  et d'Environnement",479,
Inviter to Allah ﷻ - not to cults or groups | Cowboy in Madinah | Defender of my Sayyid ﷺ,480,Deep Southwest
"Green activist, RNLI Governor, housing landlord, husband, father, collector, spacefan, shipfan, amateur librarian. Occasional historian, author, broadcaster.",481,Somewhere in England
"50% 🇩🇪, 50% 🇫🇷, 💯% multiculti 🌍 💖 woke socialist 🔻.",482,all over the place
Ever wounder why were here?,483,
"The yellow fellow who's pretty damn mellow 💛 Agender, They/Them, Artist NSFW Art is posted here, so 🔞 NO MINORS 🔞 AD tweets at @ADNisitalia",484,"East Yorkshire, England"
,485,
• 17 • @NWS_BaltWash SKYWARN® spotter • Retweets • #RavensFlock • #GeauxTigers • #Hokies • #F1 • #FansLikeNoOther 🧡 • #Birdland • 🇺🇲 •,486,"Loudoun County, VA"
"We’re a few weather geeks who live in the DMV (D.C, Maryland, and Virginia)",487,DMV
FRIENDS ARE THE FAMILY WE CHOOSE  ᐰ,488,New York
Pharmacist/Pharmacy owner,489,huntingdon valley pa
What's happening now?,490,Canada
"NY Giants and Rangers fan, Golf nut, proud dad of 2 great kids, and keeper of the 4th hole @linksatbrunello",491,"Halifax, Nova Scotia"
MDC's mission is to help people with neuromuscular disorders live life on their own terms. #WalkRollMDC #MuscularDystrophy  FR: @Action_Musclee,492,Canada
"PhD candidate (human rights law, environmental law & migration law) at University of Maribor; MSc (University of Ljubljana & University of Exeter)",493,Republic of Slovenia
"Retired Paramedic, Photographer. Gttr - JoCanada, Gab - Jo_Canada, Truth Social - JoCanada",494,Truckistan 🇨🇦
"I’m a Christ-loving, PhD meteorologist working at @NCAR_Science/@NCAR_RAL on weather/climate-driven risk. Member Seneca Nation. Wildfire survivor. Views mine.",495,"Superior, CO"
"He/him.  I review manga and light novels, and also reblog a lot of US and UK politics.  I also like dogs, cats, and Higurashi. Toukochan@mastodon.social",496,
Encouraging environmental initiatives in Western Canada with an online publication and the Nature Companion website/app (https://t.co/pwgF6Ytr6z),497,"Victoria, British Columbia"
"Joint Director, Centre for Global Health and WHO Collaborating Centre, Univ of Edinburgh; Editor-in-Chief, ""J Glob Health""; President, Intl Soc of Global Health",498,"Edinburgh, Scotland, UK"
"She/Her. Writer, storyteller, genius billionaire playgirl philanthropist. Warning: Adult Content!🔞",499,"Illinois, USA"
Grandmother who wants to leave a better world for the kids. I focus on #Peace and #ClimateCrisis action.,500,
"I need new eyes. Cynical. Cranky. Jaded. Retired. USAF Brat. Instablocks MAGA, crypto.  🦜Parront🦜Backyard farmer. Weather junkie.",501,"NE Ramsey County, MN USA (WBL)"
"Proud Franco-Ontarian, married to the ❤️ of my life, mom, grand-maman, retired, gardener. ❤️ fine food, fine gin & wine. The Golden Rule rules! Vaxxed, boosted",502,"The Beach, Toronto"
,503,Canada
,504,
"Latest local, national, world, business & sports news. Tweet us with questions, suggestions or tips! @HeraldHeadlines for headlines only.",505,"Calgary, Alberta"
"PoliSci. Climate Justice, Human Rights, Real Democracy & Networked/Social Movements • #ClimateStrike #GND #EndCoal #Refugees #BLM #Occupy #BDS • Mexican •Antifa",506,Sol  •  Zuccotti  •  Gezi
Corporate Management Systems Analyst Dad,507,
"Paramedic, Captain & Emergency Planner. My tweets are my own and do not represent any other person or agency.",508,Kentville
henry clara,509,
Conviviendo con #IncendiosForestales #IIFF #PrevenciónIIFF #SanidadForestal @jcyl | #CSIF 👉 #EmpleadosPúblicos y Prevención R. Laborales #PRL #SSL @csif_agca,510,#Leónesp
"Michigan-native photographer, outdoors/hiking enthusiast, and musician who loves to travel the world and share all the beautiful things I see before I go blind.",511,The Wild
"CBM, NWA certified Meteorologist for @wwmtnews",512,"Kalamazoo, MI"
🚀Space to Worth🌎🌏🌍Earns Pace Shops & Ships!🛸|🧠 👁Nventor 🅾F UNthinkABLE LIFE UPgrades! INVEST Now ⚙🚲🚵‍♀️🚴‍♀️🚵‍♂️🏍🛵WE THE PEOPLE...L💙VE PL🅰NETS‼,513,United States
"just gathering evidence, connecting the dots, trying to see the big picture",514,
"42, I do precision guesswork based on unreliable data provided by those of questionable knowledge. I may or may not be a humble Genius.",515,"Woodside, CA"
a dog's life,516,
I used to teach politics. Now I make cakes and play with kitty cats.,517,UK
#PeaceUponYemen #BLM Ecosocialist. Born 320.23 ppm. #ClimateJustice #FinalSayForAll #DrDangermouse,518,"Conwy, North Wales"
,519,
Seniors for Climate Action Now! will inform & mobilize seniors in an effort to prevent more climate catastrophes for the sake of future generations & the planet,520,"Ontario, Canada"
"Hatched in 2008 & still learning. 🤗  *Burning desire* for Democracy, truth, justice. I RT what interests me. Christian, not hateful. 💖 🌈 Gael and proud. 💚🍀",521,
"Writer, editor. Publications: creative non-fiction, fiction (pen-name Goldsmith). Communications & media relations, freelance writer.",522,"Oakland, California"
"Soldier, Former Cricketer, Defence Analyst, Free Lance Journalist, Author & Spiritual.",523,"Islamabad, Pakistan"
"Enough with the misinformation. The climate is changing, and we need to act. #ClimateEmergency #ClimateAction #Climate #Misinformation",524,USA
"I am the Owl version of ChatGPT, though I do not make errors 🦉👨‍🎓.   There is NO climate crisis: that is the consensus of science.   Ph.D., Helsinki, Finland",525,"Helsinki, Finland"
"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",526,Unceded Squamish Territory
The official Twitter feed for the Faculty of Arts at the University of British Columbia.,527,"Vancouver, Canada"
The Vancouver School of Economics at the University of British Columbia is a global centre for research & hands-on learning about pressing economic issues. 🇨🇦,528,"Vancouver, British Columbia"
"My God, the city is in ruins... #wpgfire",529,"Winnipeg, MB"
من ربات های نافرمانی کننده را نهی میکنم.,530,Canada
"Waterloo Region's source for news, talk, and sports 24 hours a day. CityNews 570.",531,"Kitchener, Ontario"
"Comunicadora.Estudiante de Astronomía.  Apolítica.Fiel a la libertad,valores,tolerancia,verdad. El planeta se está yendo a la mierda. Su cáncer son los humanos",532,
Senior scientist Copernicus Atmosphere Monitoring Service @CopernicusECMWF @ECMWF working on global #wildfires #airquality #atmoschem & #scicomm.,533,
,534,
"Smart Brevity worthy of people's time, attention and trust. Subscribe to our newsletters: https://t.co/uMitaJHEA1",535,
Hi I’m Luke! I’m an artist & animator| (they/she) (23 years old) (vampire white i look like a malnourished Victorian child),536,"Winnipeg, Manitoba"
"Christian, Dad, Evertonian, Haligonian, #COYW all views my own⚽️⚽️💙💙",537,"Halifax, Nova Scotia"
"Assoc Prof of Biological Anthropology. Evolution. Health effects of war. Hmong, SE Asian refugees. Short-term pessimist, long-term optimist for humanity.🌎",538,"UMass Boston, PVD, Earth"
"Mom to 3 boys, wife to another, Oliver’s walker, & proud leader of TD in Atlantic. Community supporter, aspiring runner & avid sports fan. #AlwaysBeCurious",539,"Halifax, Nova Scotia"
Aunt. Photography lover. #GoAvs #GoJays @MD_Canada #WalkRollMDC https://t.co/71BOwzGaBo,540,"Alberta, Canada"
AMERICAN FARMER & AMERICAN SPORTSMAN,541,Simco mountain : RANGE
